Time (sec), Heater 1 (%),Temperature 1 (degC), Energy balance (degC), FOPDT (degC)
2.935852355957031250e+02,2.000000000000000000e+01,2.992200000000000060e+01,3.282584089191419707e+01,3.177651570738994025e+01
2.948809511661529541e+02,2.000000000000000000e+01,2.992200000000000060e+01,3.283639833116876616e+01,3.178965537151567844e+01
2.961248240470886230e+02,2.000000000000000000e+01,3.014699999999999847e+01,3.284641169934764093e+01,3.180213652953657189e+01
2.973809223175048828e+02,2.000000000000000000e+01,3.024399999999999977e+01,3.285640400786923010e+01,3.181460975261829205e+01
2.986258144378662109e+02,2.000000000000000000e+01,3.024399999999999977e+01,3.286619009917330914e+01,3.182684354376159774e+01
2.999344568252563477e+02,2.000000000000000000e+01,3.024399999999999977e+01,3.287635320635115477e+01,3.183956772237423039e+01
3.011838371753692627e+02,2.000000000000000000e+01,3.024399999999999977e+01,3.288593874441335174e+01,3.185158688905161739e+01
3.024477035999298096e+02,2.000000000000000000e+01,3.024399999999999977e+01,3.289552023149065008e+01,3.186361875646150210e+01
3.037132391929626465e+02,2.000000000000000000e+01,3.030900000000000105e+01,3.290499966205504734e+01,3.187554020764019924e+01
3.050131356716156006e+02,2.000000000000000000e+01,3.056599999999999895e+01,3.291461841546816913e+01,3.188765514950190294e+01
3.062363991737365723e+02,2.000000000000000000e+01,3.056599999999999895e+01,3.292356211760522910e+01,3.189893664129924389e+01
3.074966325759887695e+02,2.000000000000000000e+01,3.056599999999999895e+01,3.293266794356151195e+01,3.191043944154568379e+01
3.088265874385833740e+02,2.000000000000000000e+01,3.030900000000000105e+01,3.294215991411152800e+01,3.192244832467764937e+01
3.101186749935150146e+02,2.000000000000000000e+01,3.030900000000000105e+01,3.295126731785751417e+01,3.193398851022032048e+01
3.113770556449890137e+02,2.000000000000000000e+01,3.030900000000000105e+01,3.296003017265940116e+01,3.194510883690676195e+01
3.126572115421295166e+02,2.000000000000000000e+01,3.046999999999999886e+01,3.296883767684482791e+01,3.195630256644658829e+01
